title,artist,weeks,peak_rank,date
Because They're Young,Duane Eddy And The Rebels,15.0,4.0,1960-05-18
Because You're Young,Jimmie Rodgers,5.0,62.0,1959-03-04
Beep Beep,The Playmates,15.0,4.0,1958-10-29
Before I Grow Too Old,Fats Domino,2.0,84.0,1960-05-04
Bei Mir Bist Du Schön,Louis Prima And Keely Smith,6.0,69.0,1959-07-01
Believe Me,Royal Teens,15.0,26.0,1959-10-21
"Bells, Bells, Bells (The Bell Song)",Billy & Lillie,6.0,88.0,1959-07-08
Besame Mucho (Part I),The Coasters,3.0,70.0,1960-04-27
Better Tell Him No,The Starlets,13.0,38.0,1961-04-19
Betty Lou Got A New Pair Of Shoes,Bobby Freeman,9.0,37.0,1958-01-01
Betty My Angel,Jerry Fuller,2.0,90.0,1959-08-26
Bewildered,James Brown And The Famous Flames,8.0,40.0,1961-02-22
Beyond The Sea,Bobby Darin,14.0,6.0,1960-01-13
Beyond The Sunset,Pat Boone,5.0,71.0,1959-11-25
Big Big World,Johnny Burnette,7.0,58.0,1961-04-26
Big Bopper's Wedding,Big Bopper,7.0,38.0,1958-12-03
Big Boss Man,Jimmy Reed,3.0,78.0,1961-05-24
Big Boy Pete,The Olympics,14.0,50.0,1960-05-18
Big Brown Eyes,The Redjacks,2.0,84.0,1958-09-10
Big Cold Wind,Pat Boone,1.0,76.0,1961-07-19
Big Daddy,Jill Corey,2.0,96.0,1958-08-27
Big Iron,Marty Robbins,10.0,26.0,1960-03-09
Big Man,The Four Preps,1.0,67.0,1958-01-01
"Big River, Big Man",Claude King,1.0,94.0,1961-07-12
Billy Bayou,Jim Reeves,1.0,95.0,1958-12-03
Bimbombey,Jimmie Rodgers,16.0,11.0,1958-11-05
Biology,Danny Valentino,2.0,95.0,1960-06-01
Bird Dog,The Everly Brothers,18.0,2.0,1958-01-01
Black Land Farmer,Frankie Miller,2.0,86.0,1961-07-05
"Blah, Blah, Blah",Nicola Paone,7.0,57.0,1959-02-04
Bless You,Tony Orlando,2.0,73.0,1961-07-19
Blip Blop,Bill Doggett,2.0,82.0,1958-01-01
Blue Angel,Roy Orbison,14.0,9.0,1960-09-14
Blue Blue Day,Don Gibson,8.0,32.0,1958-01-01
Blue Boy,Jim Reeves,6.0,45.0,1958-01-01
Blue Christmas,The Browns Featuring Jim Edward Brown,1.0,97.0,1960-12-14
Blue Hawaii,Billy Vaughn And His Orchestra,10.0,37.0,1958-12-24
Blue Moon,The Marcels,14.0,1.0,1961-03-01
Blue Ribbon Baby,Tommy Sands And The Raiders,11.0,50.0,1958-08-27
Blue Tango,Bill Black's Combo,10.0,16.0,1960-11-23
Blue Tomorrow,Billy Vaughn And His Orchestra,5.0,84.0,1961-06-07
Blue Velvet,The Statues,3.0,84.0,1960-08-03
Bluebell,Mitch Miller and his Orchestra and Chorus,1.0,94.0,1958-10-08
Bobby,Neil Scott,6.0,60.0,1961-06-07
Bobby Sox To Stockings,Frankie Avalon,13.0,8.0,1959-05-20
Bonanza,Al Caiola And His Orchestra,10.0,19.0,1961-03-29
Bonaparte's Retreat,Billy Grammer,9.0,50.0,1959-04-08
Bongo Bongo Bongo,Preston Epps,3.0,78.0,1960-08-10
Bongo Rock,Preston Epps,13.0,14.0,1959-05-13
Bonnie Came Back,Duane Eddy His Twangy Guitar And The Rebels,9.0,26.0,1959-12-23
Boo Boo Stick Beat,Chet Atkins,8.0,49.0,1959-09-23
Boogie Bear,Boyd Bennett,4.0,73.0,1959-09-16
Boogie Woogie,B. Bumble & The Stingers,1.0,89.0,1961-07-05
Boom-A-Dip-Dip,Stan Robinson,4.0,83.0,1959-03-25
Born Too Late,Poni-Tails,14.0,7.0,1958-01-01
Borrowed Dreams,Bobby Helms,2.0,60.0,1958-08-13
Brass Buttons,The String-A-Longs,7.0,35.0,1961-03-22
Break-Up,Jerry Lee Lewis And His Pumping Piano,5.0,52.0,1958-09-10
Breakin' In A Brand New Broken Heart,Connie Francis,10.0,7.0,1961-04-12
Breaking Up Is Hard To Do,Jivin' Gene And The Jokers,4.0,69.0,1959-09-02
Broken Hearted,The Miracles,1.0,97.0,1961-06-28
Broken-Hearted Melody,Sarah Vaughan,19.0,7.0,1959-07-15
Brontosaurus Stomp,The Piltdown Men,3.0,75.0,1960-09-07
Brother-In-Law (He's A Moocher),Paul Peek,3.0,84.0,1961-05-10
Bulldog,The Fireballs,12.0,24.0,1960-01-06
Bullwhip Rock,Cyclones,2.0,83.0,1958-09-24
Bumble Bee,LaVern Baker,11.0,46.0,1960-11-09
Bumble Boogie,B. Bumble & The Stingers,10.0,21.0,1961-03-22
Bunny Hop,The Applejacks,4.0,70.0,1959-02-18
Burning Bridges,Jack Scott,17.0,3.0,1960-04-13
But I Do,Clarence Henry,16.0,4.0,1961-02-15
Buzz Buzz A-Diddle-It,Freddy Cannon,8.0,51.0,1961-04-26
By The Light Of The Silvery Moon,Jimmy Bowen with the Rhythm Orchids,8.0,50.0,1958-01-01
Bye Bye Baby,Mary Wells,11.0,45.0,1961-01-25
C'est Si Bon (It's So Good),Conway Twitty,10.0,22.0,1960-12-28
C'mon Everybody,Eddie Cochran,12.0,35.0,1958-11-19
Calcutta,Lawrence Welk And His Orchestra,17.0,1.0,1961-02-01
Calendar Girl,Neil Sedaka,15.0,4.0,1960-12-14
California Sun,Joe Jones,3.0,89.0,1961-03-29
Call Me,Johnny Mathis,15.0,21.0,1958-09-24
Can't Help Lovin' That Girl Of Mine,The Excels,1.0,100.0,1961-05-31
Canadian Sunset,Etta Jones,1.0,91.0,1961-03-08
Candy Apple Red,Bonnie Guitar,2.0,97.0,1959-12-09
Candy Man,Roy Orbison,3.0,60.0,1961-07-19
Candy Sweet,Pat Boone,3.0,72.0,1960-08-17
Cannonball,Duane Eddy His Twangy Guitar And The Rebels,12.0,15.0,1958-10-29
Cap And Gown,Marty Robbins,6.0,45.0,1959-06-10
Caravan,Santo & Johnny,8.0,48.0,1960-03-09
Caribbean,Mitchell Torok,14.0,27.0,1959-07-29
Carol,Chuck Berry,10.0,18.0,1958-08-20
Castin' My Spell,The Johnny Otis Show,5.0,52.0,1959-04-22
Cathy's Clown,The Everly Brothers,17.0,1.0,1960-04-13
Cerveza,Boots Brown And His Blockbusters,8.0,62.0,1961-02-01
Chain Gang,Sam Cooke,16.0,2.0,1960-08-10
Chantilly Lace,Big Bopper,25.0,6.0,1958-01-01
Chapel Of Dreams,The Dubs,6.0,74.0,1959-08-19
Chariot Rock,The Champs,7.0,59.0,1958-08-06
Charlena,The Sevilles,5.0,84.0,1961-01-18
Charlie Brown,The Coasters,15.0,2.0,1959-01-28
Chattanooga Choo Choo,Ernie Fields & Orch.,8.0,54.0,1960-02-24
Chattanooga Shoe Shine Boy,Freddy Cannon,7.0,34.0,1960-02-17
Cherié,Bobby Rydell,4.0,54.0,1961-02-08
Cherry Berry Wine,Charlie Mccoy,1.0,99.0,1961-02-22
Cherry Pie,Skip And Flip,15.0,11.0,1960-03-30
Cherry Pink And Apple Blossom White,Jerry Murad's Harmonicats,8.0,56.0,1960-12-21
Cherrystone,Addrisi Brothers,6.0,62.0,1959-05-27
Child Of God,Bobby Darin,1.0,95.0,1960-12-21
Chills And Fever,Ronnie Love And His Orchestra,4.0,72.0,1961-01-04
China Doll,The Ames Brothers,13.0,38.0,1960-01-27
Chip Off The Old Block,Eddy Arnold,2.0,97.0,1959-03-04
Christmas Auld Lang Syne,Bobby Darin,3.0,51.0,1960-12-14
"Ciao, Ciao Bambina",Jacky Noguez And His Musette Orchestra,12.0,24.0,1959-06-17
Cimarron (Roll On),Billy Vaughn And His Orchestra,10.0,44.0,1958-10-15
Cinderella,The Four Preps,7.0,69.0,1958-11-12
City Lights,Ray Price,4.0,55.0,1959-02-25
Clap Your Hands,The Beau-Marks,14.0,45.0,1960-05-11
Clementine,Jan & Dean,9.0,21.0,1960-02-03
Climb Ev'ry Mountain,Tony Bennett,5.0,74.0,1959-12-16
Close Together,Jimmy Reed,4.0,68.0,1961-01-25
Come Along,Maurice Williams & The Zodiacs,2.0,83.0,1961-04-05
Come Back,Jimmy Clanton,8.0,63.0,1960-08-17
Come Closer To Me (Acercate Mas),Nat King Cole,9.0,41.0,1958-01-01
Come In Stranger,Johnny Cash And The Tennessee Two,1.0,87.0,1958-08-06
Come Into My Heart,Lloyd Price and His Orchestra,14.0,20.0,1959-10-21
Come On And Get Me,Fabian,8.0,29.0,1959-09-02
Come On Over,The Strollers,2.0,91.0,1961-04-05
"Come On, Let's Go",Ritchie Valens,13.0,42.0,1958-09-17
Come Prima,Tony Dallara,7.0,60.0,1958-12-03
Come Prima (Koma Preema),Polly Bergen,6.0,67.0,1958-12-10
Come Rain Or Come Shine,Ray Charles,2.0,83.0,1960-11-23
Come Softly To Me,The Fleetwoods,16.0,1.0,1959-03-18
Come To Me,Marv Johnson,15.0,30.0,1959-03-11
Come What May,Clyde McPhatter,3.0,43.0,1958-01-01
Comin' Down With Love,Mel Gadson,5.0,69.0,1960-05-25
CooCoo-U,The Kingston Trio,1.0,98.0,1959-12-09
Cool Water,Jack Scott,3.0,85.0,1960-07-20
Coquette,Fats Domino,1.0,92.0,1958-11-12
"Corinna, Corinna",Ray Peterson,15.0,9.0,1960-11-16
Count Every Star,The Rivieras,10.0,35.0,1961-04-26
Country Boy,Fats Domino,10.0,25.0,1960-01-27
Cowboy Jimmy Joe (Die Sterne Der Prarie),Lolita,3.0,94.0,1961-02-01
Crackin Up,Bo Diddley,5.0,62.0,1959-07-01
Cradle Of Love,Johnny Preston,15.0,7.0,1960-03-23
Crazy Arms,Bob Beckham,13.0,36.0,1959-12-30
Crazy Country Hop,Johnny Otis,4.0,87.0,1958-11-05
Crazy Eyes For You,Bobby Hamilton,3.0,40.0,1958-01-01
Crossfire,Johnny And The Hurricanes,14.0,23.0,1959-04-22
Cry,The Knightsbridge Strings,7.0,53.0,1959-07-15
Cry Cry Cry,Bobby Bland,5.0,71.0,1960-11-02
