title,title_spotify,artist,album,colab,id,release_date,peak_rank,peak_date,peak_year,lustrum,weeks,sp_popularity,tempo,duration,key,mode,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,before_1964,release_year
Fell In Love On Monday,Fell In Love On Monday,Fats Domino,They Call Me The Fat Man (The Legendary Imperial Recordings),N,499iOZxvZrkYGh0sHffvbZ,2016-01-01,32.0,1961-03-15,1961,1960-1964,6.0,2.0,109.354,119.307,5.0,1.0,0.633,0.495,-10.633,0.0263,0.877,1.67e-05,0.395,0.887,True,2016
Fever,Fever,Peggy Lee,All Aglow Again!,N,4Ke1CYcm2wYDFlOhziFFjK,1960-05-02,8.0,1958-01-01,1958,1955-1959,12.0,45.0,136.007,202.693,4.0,0.0,0.833,0.0756,-20.822,0.147,0.314,0.0,0.111,0.338,True,1960
Fibbin',Fibbin',Patti Page,Her Greatest Hits,N,5VAN7D9sq2lzzAm5MMqw5Q,1995-01-01,39.0,1958-09-17,1958,1955-1959,9.0,0.0,162.971,114.44,10.0,1.0,0.458,0.463,-9.976,0.101,0.72,0.0,0.18,0.896,True,1995
Find Another Girl,Find Another Girl,Jerry Butler,Aware Of Love,N,6Amd6FpVPI5nJYop05KHq2,1961-01-01,27.0,1961-03-01,1961,1960-1964,10.0,11.0,125.593,172.64,1.0,0.0,0.631,0.517,-8.815,0.0386,0.907,0.0,0.176,0.728,True,1961
Fire Of Love,Fire of Love,Jody Reynolds,Presenting Jody Reynolds,N,26VaTFK760o5VaDPcSyV5B,1958-12-24,66.0,1958-08-13,1958,1955-1959,5.0,23.0,112.047,115.133,11.0,0.0,0.647,0.355,-11.863,0.029,0.883,3.18e-05,0.119,0.829,True,1958
Firefly,Firefly,Tony Bennett,Cheek To Cheek (Deluxe),Y,4NCZEnM4tq2MazaFURJxWY,2014-09-19,20.0,1958-09-03,1958,1955-1959,13.0,36.0,92.222,117.64,1.0,1.0,0.561,0.565,-6.193,0.102,0.585,0.0,0.0808,0.676,True,2014
First Anniversary,Cathy’s Theme,Cathy Carr,Every Hour,N,736C7AGuY2ANNnVgNqAQ9m,2014-03-20,42.0,1959-01-21,1959,1955-1959,12.0,45.0,85.146,136.093,9.0,1.0,0.509,0.152,-18.144,0.0695,0.963,0.874,0.0984,0.0681,True,2014
First Name Initial,First Name Initial,Annette With The Afterbeats,"Compiled, for the New Generations",N,3AVS4x3b0b408Vz05ERffc,2023-07-20,20.0,1959-10-21,1959,1955-1959,18.0,3.0,76.566,141.507,8.0,1.0,0.376,0.738,-5.558,0.04,0.524,0.0,0.323,0.356,True,2023
First Taste Of Love,First Taste of Love,Ben E. King,Don't Play That Song (Mono),N,1WwbO6D1l5GCgplARhJrEP,1962-08-20,53.0,1960-12-28,1960,1960-1964,7.0,28.0,147.781,140.216,5.0,1.0,0.524,0.318,-13.321,0.0555,0.517,2.14e-06,0.142,0.843,True,1962
Five Brothers,Five Brothers,Marty Robbins,More Gunfighter Ballads and Trail Songs,N,39kqEgevkI3UxStWdR2cfR,1960-07-18,74.0,1960-09-07,1960,1960-1964,4.0,41.0,129.137,131.667,1.0,1.0,0.634,0.414,-12.165,0.0611,0.75,0.0,0.164,0.565,True,1960
Five Feet High And Rising,Five Feet High and Rising,Johnny Cash,Songs Of Our Soil,N,0KSHmjK7OFtGocvbo7NZNO,1959-09-01,76.0,1959-08-19,1959,1955-1959,3.0,51.0,82.761,107.28,10.0,1.0,0.754,0.484,-9.196,0.0609,0.803,9.02e-06,0.0989,0.801,True,1959
